Cover,Return,Mission,Kernel,ncells,Q1,Q2,Q3,IQR,Mean,N,CR,CV,Gini,MoranI
Deciduous,Ground,Const 2 m/s,——,22512,97.0,194.0,305.0,208.0,212.38881485429994,24080,0.9348837209302325,0.6701376920678658,0.3755249929207731,0.7600347871634533
Deciduous,Ground,Const 8 m/s,——,22963,40.0,74.0,112.0,72.0,78.85406959021034,24080,0.9536129568106312,0.6121532675958403,0.3452002488512933,0.7449244640398005
Deciduous,Ground,Density-aware,E,23590,40.0,78.0,121.0,81.0,86.57507418397626,24080,0.9796511627906976,0.6975791459374752,0.37461810699785025,0.7577150239990874
Deciduous,Ground,Density-aware,G,22936,42.0,81.0,127.0,85.0,90.05698465294734,24080,0.9524916943521595,0.6769137552323103,0.37109710540340024,0.7677991344545794
Deciduous,Ground,Speed-aware,E,23470,38.0,74.0,115.0,77.0,83.03246697912229,24080,0.9746677740863787,0.7066580057899067,0.38033575002469444,0.7670979725169225
Deciduous,Ground,Speed-aware,G,23270,45.0,84.0,127.0,82.0,91.9813493768801,24080,0.9663621262458472,0.6582828581493535,0.3620684948019217,0.7511634511913701
Field,Ground,Const 2 m/s,——,54699,534.0,650.0,744.0,210.0,629.7409641858169,55719,0.981693856673666,0.33552189100888513,0.17973124510572425,0.8618339448349469
Field,Ground,Const 8 m/s,——,54654,175.0,208.0,233.0,58.0,200.77410619533794,55719,0.9808862327033866,0.3030220128468024,0.1602348320351239,0.7778689423016572
Field,Ground,Density-aware,E,54237,162.0,208.0,251.0,89.0,209.91987019931042,55719,0.9734022505787971,0.4149536744547108,0.22047589014239133,0.8664913554157208
Field,Ground,Density-aware,G,54199,155.0,207.0,253.0,98.0,206.6825218177457,55719,0.9727202570038945,0.40142456930505344,0.22157513580004862,0.8532997208140991
Field,Ground,Speed-aware,E,54619,151.0,203.0,244.0,93.0,200.30826269246964,55719,0.9802580807265027,0.40191551942394677,0.2213125437310084,0.8507927546571603
Field,Ground,Speed-aware,G,54432,157.0,210.0,250.0,93.0,206.18121693121694,55719,0.976901954450008,0.3814768483512395,0.20975813933963727,0.846357832318416
